============,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SMd,SMt,0.0107,0.4024,20,,,,,,,,,,,,,
SMd,SMt,0.0107,0.4024,20,Email-Enron.txt,,,,,,,,,,,,
SMd,SMt,0.0192,0.1489,29.1,wiki-Vote.txt,,,,,,,,,,,,
SMd,SMt,0.0049,0.3579,19.3,Gowalla_edges.txt,,,,,,,,,,,,
SMd,SMt,0.0281,0.0887,43.7,facebook.txt,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
=============,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1.56146E+12, Gowalla_edges.txt,20%, kc=10 ,,,,237.636, SMt,0.712,0.113,2.756,,,,,,
1.56146E+12, Gowalla_edges.txt,22%, kc=9 ,,,,227.916, SMt,0.697,0.121,2.623,,,,,,
1.56146E+12, Gowalla_edges.txt,24%, kc=8 ,,,,216.209, SMt,0.677,0.13,2.481,,,,,,
1.56146E+12, Gowalla_edges.txt,27%, kc=7 ,,,,202.866, SMt,0.657,0.141,2.334,,,,,,
1.56147E+12, Gowalla_edges.txt,31%, kc=6 ,,,,186.371, SMt,0.635,0.156,2.18,,,,,,
1.56147E+12, Gowalla_edges.txt,35%, kc=5 ,,,,167.298, SMt,0.612,0.175,2.017,,,,,,
1.56147E+12, Gowalla_edges.txt,41%, kc=4 ,,,,142.334, SMt,0.583,0.2,1.843,,,,,,
1.56147E+12, Gowalla_edges.txt,48%, kc=3 ,,,,108.19, SMt,0.55,0.236,1.655,,,,,,
1.56147E+12, Gowalla_edges.txt,59%, kc=2 ,,,,166.767, SMt,0.516,0.295,1.451,,,,,,
1.56147E+12, wiki-Vote.txt,25%, kc=30 ,,,,9.545, SMt,1.009,0.122,2.914,,,,,,
1.56147E+12, wiki-Vote.txt,26%, kc=28 ,,,,9.019, SMt,1.009,0.126,2.871,,,,,,
1.56147E+12, wiki-Vote.txt,27%, kc=25 ,,,,9.018, SMt,1.005,0.132,2.805,,,,,,
1.56147E+12, wiki-Vote.txt,29%, kc=21 ,,,,8.541, SMt,1.005,0.143,2.718,,,,,,
1.56147E+12, wiki-Vote.txt,33%, kc=15 ,,,,7.708, SMt,1.004,0.17,2.539,,,,,,
1.56147E+12, wiki-Vote.txt,34%, kc=14 ,,,,7.559, SMt,1.003,0.177,2.501,,,,,,
1.56147E+12, wiki-Vote.txt,35%, kc=13 ,,,,7.314, SMt,1.002,0.185,2.46,,,,,,
1.56147E+12, wiki-Vote.txt,43%, kc=7 ,,,,5.591, SMt,1.002,0.282,2.138,,,,,,
1.56147E+12, wiki-Vote.txt,45%, kc=6 ,,,,5.205, SMt,1.002,0.311,2.066,,,,,,
1.56147E+12, wiki-Vote.txt,47%, kc=5 ,,,,4.684, SMt,1.003,0.36,1.987,,,,,,
1.56147E+12, wiki-Vote.txt,49%, kc=4 ,,,,4.148, SMt,1.002,0.407,1.91,,,,,,
1.56147E+12, wiki-Vote.txt,53%, kc=3 ,,,,3.346, SMt,1.004,0.524,1.803,,,,,,
1.56147E+12, wiki-Vote.txt,23%, kc=36 ,,,,10.016, SMt,1.019,0.114,3.004,,,,,,
1.56147E+12, wiki-Vote.txt,23%, kc=35 ,,,,9.786, SMt,1.018,0.115,2.992,,,,,,
1.56147E+12, wiki-Vote.txt,23%, kc=34 ,,,,9.903, SMt,1.017,0.116,2.979,,,,,,
1.56147E+12, wiki-Vote.txt,58%, kc=2 ,,,,9.543, SMt,1.003,0.688,1.655,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
